rank,brand,brand_ar,name_en,name_ar,rating,longevity,projection,year,price_ref,keyword_ar,keyword_en
891,PENHALIGONS,بنهاليغونز,Cairo Penhaligon's,بنهاليغنز كايرو,4.18,3.7,3.3,2019,650,عطر بنهاليغنز كايرو,Cairo Penhaligon's
892,Paco Rabanne,باكو رابان,Pure XS Night,بيور اكس اس نايت الرجالي,4.13,3.8,3.3,2019,7,عطر بيور اكس اس نايت الرجالي,Pure XS Night
893,Roja Parfums,روجا بارفيومز,ENIGMA PARFUM,انيجما,4.18,3.8,3.2,2019,950,عطر انيجما,ENIGMA PARFUM
894,Roja Parfums,روجا بارفيومز,Enigma Dove,انجما النسائي,4.18,3.8,3.2,2019,990,عطر انجما النسائي,Enigma Dove
895,YSL,ايف سان لوران,Yves Saint Laurent Black Opium Nuit Blanche Parfum,بلاك اوبيوم نوت بلانش,4.08,3.6,3.6,2016,490,عطر بلاك اوبيوم نوت بلانش,Yves Saint Laurent Black Opium Nuit Blanche Parfum
896,Floris,فلوريس,Leather Oud,لندن ليذر عود,4.22,3.7,3.2,2014,650,عطر لندن ليذر عود,Leather Oud
897,Giorgio Armani,ارماني,Prive Bleu Turquoise,جورجيو برايف بلو تركواز,4.12,3.9,3.2,2018,17,عطر جورجيو برايف بلو تركواز,Prive Bleu Turquoise
898,Hermes,هيرمس,Bel Ami Vetiver,بيلامي,4.37,3.6,3,2013,550,عطر بيلامي,Bel Ami Vetiver
899,Jeroboam,جيروبوم,Gozo,جيروبام جوزو,4.12,3.8,3.3,2020,580,عطر جيروبام جوزو,Gozo
900,Jeroboam,جيروبوم,Gozo by,جيروبام قوزو,4.12,3.8,3.3,2020,500,عطر جيروبام قوزو,Gozo by
901,Laurent Mazzone,لورنت مازون,Veleno Dore,لورين فيلينو دوريه,4.07,3.9,3.3,2017,1000,عطر لورين فيلينو دوريه,Veleno Dore
902,Les Indemodables,ليه إنديمودابل,Patchouli Noisette,باتشولي نويزيت,4.12,3.9,3.2,2023,770,عطر باتشولي نويزيت,Patchouli Noisette
